class,tweets,clean_text
0,Thank u!,thank u
0,Going for dinner.msg you after.,going dinnermsg
0,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,hi wont b ard 4 christmas enjoy n merry xmas
0,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,1 tension face 2 smiling face 3 waste face 4 innocent face 5terror face 6cruel face 7romantic face 8lovable face 9decent face ltgt joker face
0,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,1 dont number 2 gonna massive pain ass id involved thats possible
0,Yes i will be there. Glad you made it.,yes glad
0,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,desires u going doctor 4 liver bit stylish ur hair managed thats
0,Oops my phone died and I didn't even know. Yeah I like it better.,oops phone died didnt know yeah like better
0,I think that tantrum's finished so yeah I'll be by at some point,think tantrums finished yeah ill point
0,Ultimately tor motive tui achieve korli.,ultimately tor motive tui achieve korli
0,If I was I wasn't paying attention,wasnt paying attention
0,I'm now but have to wait till 2 for the bus to pick me.,im wait till 2 bus pick
0,"Oh yes, why is it like torture watching england?",oh yes like torture watching england
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like ltgt half eighth smarter gets second gram ltgt
0,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,hope arnt pissed id really like tomorrow love xxxxxxxxxxxxxx
0,Ho ho - big belly laugh! See ya tomo,ho ho big belly laugh ya tomo
0,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",im maybe reboot ym seen buzz
0,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",boy sweet words left morning sighs goes day love did start studying
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz loves u smiling
0,Fine am simply sitting.,fine simply sitting
0,Nationwide auto centre (or something like that) on Newport road. I liked them there,nationwide auto centre like newport road liked
0,Super msg da:)nalla timing.,super msg danalla timing
0,if you text on your way to cup stop that should work. And that should be BUS,text way cup stop work bus
0,Hi.:)technical support.providing assistance to us customer through call and email:),hitechnical supportproviding assistance customer email
0,When you guys planning on coming over?,guys planning coming
0,May b approve panalam...but it should have more posts..,b approve panalambut posts
0,Just now saw your message.it k da:),just saw messageit k da
0,I'm not. She lip synced with shangela.,im lip synced shangela
0,You can never do NOTHING,
0,K..k.:)congratulation ..,kkcongratulation
0,Are you planning to come chennai?,planning come chennai
0,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",yeah wouldnt leave hour hows 4 sound
0,Can not use foreign stamps in this country.,use foreign stamps country
0,Both :) i shoot big loads so get ready!,shoot big loads ready
0,From tomorrow onwards eve 6 to 3 work.,tomorrow onwards eve 6 3 work
0,Every day i use to sleep after  &lt;#&gt;  so only.,day use sleep ltgt
0,Ill be at yours in about 3 mins but look out for me,ill 3 mins look
0,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,2 oz guy kinda flaky friend interested picking ltgt worth tonight possible
0,That's y i said it's bad dat all e gals know u... Wat u doing now?,thats y said bad dat e gals know u wat u doing
0,Hmm .. Bits and pieces lol ... *sighs* ...,hmm bits pieces lol sighs
0,Oh...i asked for fun. Haha...take care. �_,ohi asked fun hahatake care �
1,"U can WIN �100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",u win �100 music gift vouchers week starting txt word draw 87066 tscs wwwldewcom skillgame1winaweek age16150ppermesssubscription
0,You getting back any time soon?,getting time soon
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,Total video converter free download type this in google search:),total video converter free download type google search
0,What???? Hello wats talks email address?,hello wats talks email address
0,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",know god created gap fingers comes amp fills gaps holding hand love
0,Hi good mornin.. Thanku wish u d same..,hi good mornin thanku wish u d
1,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",09094100151 use ur mins calls cast 10pmin mob vary service provided aom just gbp5month aom box61m60 1er u stop ages 18
0,"It's fine, imma get a drink or somethin. Want me to come find you?",fine imma drink somethin want come
0,Okie �_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,okie � wan meet bishan cos bishan im driving today
0,Xy trying smth now. U eat already? We havent...,xy trying smth u eat havent
0,Nobody names their penis a girls name this story doesn't add up at all,names penis girls story doesnt add
0,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,cme want hos 2morow wil cme got dear didnt say time
0,Hi where you. You in home or calicut?,hi home calicut
0,"It,,s a taxt massage....tie-pos argh ok! Lool!",taxt massagetiepos argh ok lool
0,Except theres a chick with huge boobs.,theres chick huge boobs
